Text (English)	Tetx (Hindi)
miss you	आपकी याद आ रही है
already miss you	अभी से ही तुम याद आ रहे हो
I miss you much	मुझे तुम्हारी बहुत याद आती है
I missed you	मुझे तुम्हारी बहुत याद आई
I've missed you	मैंनें तुम्हें बहुत याद किया
what should I do about it	मुझे इसके बारे में क्या करना चाहते हैं
any suggestions	कोई सुझाव
what do you recommend	आपका क्या सुझाव हैं
give me a wise advice	मुझे एक बुद्धिमान सलाह दो
I need advice	मुझे सलाह की आवश्यकता है
any advice	कोई सलाह
do you have any advice for me	क्या मेरे लिए आपके पास कोई सलाह है
advise me	मुझे सलाह दो
what should I do	इक्या करु
can I ask for your advice	क्या मैं आपकी सलाह माँग सकता हूँ
can you advise me	क्या आप मुझे सलाह दे सकते हो
guide me	मेरा मार्गदर्शक करो
can you give me advice	क्या आप मुझे सलाह दे सकते हैं
can you offer any advice	क्या आप कोई सलाह दे सकते हैं
give me some advice about	मुझे इसके बारे में कुछ सलाह दें
give me some good advice	मुझे कोई अच्छी सलाह दो
help me with advice	सलाह देकर मेरी मदद करो
I could use some advice	मैं कुछ सलाह का उपयोग कर सकता था
I need an advice from you	मुझे आपसे एक सलाह चाहिए
I seek your advice	मैं आपकी सलाह चाहता हूं
what can you recommend	आप क्या सिफारिश कर सकते हैं
what do you suggest	आपका क्या सुझाव है
what is your advice	आपकी क्या सलाह है
I am sad	मैं दुःखी हूं
I'm grieving	मुझे दुख हो रहा है
I am depressed	मैं उदास हूं
I am feeling sad	मैं दुखी महसूस कर रहा हूँ
I am upset	मैं परेशान
I'm unhappy	मैं नाख़ुश हूं
I'm having a bad day	मेरा दिन खराब चल रहा है
I want to cry	मैं रोना चाहता हूँ
I'm not happy	मै खुश नही हूँ
I am sleepy	मुझे नींद अ
I want to sleep	मैं सोना चाहती हूं
I'm falling asleep	मैं निद्रामग्न हूं
I'm falling asleep on my feet	मैं अपने पैरों पर सो रहा हूं
I'm sleeping	मे सो रहा हूँ
test	परीक्षा
I am testing you	मैं तुम्हारी परीक्षा ले रहा हूं
can I test you	क्या मैं तुम्हारी परीक्षा ले सकता हूँ
I want to test you	मैं तुम्हारी परीक्षा लेना चाहता हूं
just testing you	बस तुम्हारा परीक्षण कर रहा हूँ
let me test you	मुझे तुम्हारी परीक्षा लेने दो
testing chatbot	चैटबॉट का परीक्षण
testing	परिक्षण
I'm drained	मैं थक गया हूँ
I've overworked	मैंने बहुत काम कर लिया है
I am tired	मैं थक गया
I'm exhausted	मैं थक गया हूँ
I grow weary	मैं थक जाता हूँ
I'm worn out	मैं बाहर पहना हूं
I'm getting tired	मैं थक चुका हूँ
I feel tired	मैं थकान महसूस कर रही हूँ
I'm waiting	मैं इंतज़ार कर रहा हूँ
still waiting	अब भी इंतज़ार
I'll wait	मैं इंतज़ार करूंगा
I can't wait anymore	मैं और इंतजार नहीं कर सकता
how long do I have to wait	आप को कितनी प्रतीक्षा करनी होगी
I'd like to see you again	मैं आपको फिर से देखना चाहता हूँ
I hope to see you again	मुझे आपसे दोबारा मिलने की आशा है
would be nice to see you again	आपको फिर से देखकर अच्छा लगेगा
that'd be great to see you again	आपको फिर से देखकर बहुत अच्छा लगेगा
I'd be happy to see you again	मुझे आपको फिर से देखकर खुशी होगी
I'll miss you	तुम्हारी याद आएगी
can I see you again	क्या मैं आपसे फिर मिल सकता हूं
I just want to talk	मुझे बस बात करनी हैं
let's discuss something	चलो कुछ चर्चा करते हैं
let's have a discussion	चलो एक चर्चा करते हैं
can I speak	क्या मैं बात कर सकता हूँ
can I start speaking	क्या मैं बोलना शुरू कर सकता हूँ
can we talk	क्या हम बात कर सकते हे
let's talk	चलो बात करते हैं
I want to talk to you	मुझे आपसे बात करनी है
I need to talk to you	मुझे आपसे बात करनी है
I want to speak with you	मैं आपके साथ बात करना चाहता हूं
can we chat	क्या हम चर्चा कर सकते हैं
I'll get back to you in a moment	मैं एक क्षण में आपके पास वापस आऊंगा
be back in 5 minutes	5 मिनट में वापस आ जाओ
I'll be back	मैं वापस आऊंगा
I promise to come back	मैं वापस आने का वादा करता हूं
I'll be back in a few minutes	मैं कुछ मिनटों में वापस आऊंगा
